text_komentar,nama_akun
@cloudyduck_z:  Perilaku lu di luar pria sehat sehat,@cloudyduck_z
@grumpyduck88:  si anjing punya otak gak dipake wkwk,@grumpyduck88
@lazynoodle:  duit doang banyak tapi gaya lu kayak orang kampung,@lazynoodle
@grumpynoodlex:  wkwkw udik bgt ya dia,@grumpynoodlex
@toxicpudding420:  si tolol ada aja kelakuannya,@toxicpudding420
@crazysundae_z:  idiot lu,@crazysundae_z
@cloudydonut_exe:  apasih bego,@cloudydonut_exe
@lazyzombie:  ini orang tolol bin idiot dah gak layak jadi manusia,@lazyzombie
@darkkitten:  jangan sok kecakepan mbak banyak yang jauh lebih cakep gk sok cakep kayak situ xixixix????,@darkkitten
@spicynoodlex:  kakaknya cakep kok adeNYA kayak... sudahlah no komen,@spicynoodlex
@toxicboba:  giginya kuning...,@toxicboba
@wonkyghost_exe:  pasang behel mbak jadi gak jigongan...,@wonkyghost_exe
@sillyghost420:  narsis banget haha geli dikit??????,@sillyghost420
@borednoodle_fm:  apasih goblok ngomong yang jelas dek,@borednoodle_fm
@bluntowl_fm:  sampah masyarakat wkwkw,@bluntowl_fm
@mintyworm99:  tong kosong nyaring bunyinya.. alias lu tolol banget sih,@mintyworm99
@sillykitten03:  orang kyk gini cocoknya dikurbanin aja guys,@sillykitten03
@mintypeach:  bang nanti pas idul adha jangan keluar ya takut ketuker sama sapi wkwk,@mintypeach
@darkbanana:  otak lu udh dijual di rm padang ya?,@darkbanana
@grumpyzombie:  ni orang pas pembagian otak kayanya absen,@grumpyzombie
@crazypeach404:  dua tiga tutup botol.. gajelas lu kontol,@crazypeach404
@sleepyduck99:  muka nya mirip setan momo ga sih?,@sleepyduck99
@weirdclown_fm:  ngeliat mukanya keinget setan momo yg dulu viral,@weirdclown_fm
@midnightgoblin_z:  cakep banget sampe mules liat muka mba nya,@midnightgoblin_z
@bluntcrumpetx:  serem banget jerawat nya,@bluntcrumpetx
@sleepypeach_fm:  gapapa gaes.. yang penting abang nya pede dulu punya otak atau engga belakangan,@sleepypeach_fm
@boredworm420:  gw jadi pacar mba nya malu sih jalan sama modelan begini,@boredworm420
@sillyghost:  mereka definisi beauty and the beast,@sillyghost
@cloudycrab03:  mba nya ko mau sama cowo burik ya?,@cloudycrab03
@sillycrumpet_xoxo:  minimal kalo cowo kamu jelek liat dompetnya mba.. ini udah burik trs miskin awokwokw,@sillycrumpet_xoxo
@wonkydonut:  mas nya belum mandi setahun kah,@wonkydonut
@bluntclown420:  goblok matanya juling jelek banget anjing,@bluntclown420
@sleepyzombie404:  sikat gigi dulu bang baru bikin tiktok.. jorok,@sleepyzombie404
@pixelcrumpet_:  minimal sikat dulu tuh JIGONG ????,@pixelcrumpet_
@shadygoblin_xoxo:  eh lu kalau mau ngebuli minimal spek nabi dulu bos muka kayak spombob aja belagu KOCAK,@shadygoblin_xoxo
@weirdnoodle:  hahahahhahahahaah bau jigong,@weirdnoodle
@sillypopsicle_xoxo:  daki nya.. maaf2 nih pengen muntah??,@sillypopsicle_xoxo
@saltyworm404:  kayak kcebong awokwoaoa,@saltyworm404
@boredcactus03:  ampunn minimal disikat tuh daki ?? gua beliin sabun dah sini dm alamatnya,@boredcactus03
@sillycrab_07:  gajah kok pede pos video joget,@sillycrab_07
@cloudycactus_xoxo:  setan aja gak se buriq mas nya sepertinya..........,@cloudycactus_xoxo
@lazypopsicle:  mbak diet dong,@lazypopsicle
@lazyduck_exe:  kakak gendutan ya,@lazyduck_exe
@boredcrab:  gak cocok lu joget mirip kurcaci cabang bojong kulur,@boredcrab
@saltyzombie:  balik belang wkw jadi hitam??,@saltyzombie
